"war","dbpedia","date","place_name"
"1980 Dominican Embassy siege in Bogotá","http://dbpedia.org/resource/1980_Dominican_Embassy_siege_in_Bogotá",1980-04-27,"Colombia"
"1980 Dominican Embassy siege in Bogotá","http://dbpedia.org/resource/1980_Dominican_Embassy_siege_in_Bogotá",1980-04-27,"Bogotá"
"1980 Ispaster attack","http://dbpedia.org/resource/1980_Ispaster_attack",1980-02-01,"Spain"
"1980 Ispaster attack","http://dbpedia.org/resource/1980_Ispaster_attack",1980-02-01,"Ispaster"
"1980 Liberian coup d'état","http://dbpedia.org/resource/1980_Liberian_coup_d'état",1980-04-12,"Liberia"
"1980 Orio ambush","http://dbpedia.org/resource/1980_Orio_ambush",1980-07-13,"Spain"
"1980 Orio ambush","http://dbpedia.org/resource/1980_Orio_ambush",1980-07-13,"Orio"
"1981 Entumbane Uprising","http://dbpedia.org/resource/1981_Entumbane_Uprising",1981-02-12,"Bulawayo"
"1982 British Army Gazelle friendly fire incident","http://dbpedia.org/resource/1982_British_Army_Gazelle_friendly_fire_incident",1982-06-06,"Falkland Islands"
"1982 British Army Gazelle friendly fire incident","http://dbpedia.org/resource/1982_British_Army_Gazelle_friendly_fire_incident",1982-06-06,"Pleasant Peak"
"1982 Hama massacre","http://dbpedia.org/resource/1982_Hama_massacre",1982-02-02,"Hama"
"1982 Hama massacre","http://dbpedia.org/resource/1982_Hama_massacre",1982-02-02,"Syrian Arab Republic"
"1982 Lebanon War","http://dbpedia.org/resource/1982_Lebanon_War",1982-06-06,"Lebanon"
"1982 invasion of the Falkland Islands","http://dbpedia.org/resource/1982_invasion_of_the_Falkland_Islands",1982-04-02,"Stanley, Falkland Islands"
"1982 invasion of the Falkland Islands","http://dbpedia.org/resource/1982_invasion_of_the_Falkland_Islands",1982-04-02,"Falkland Islands"
"1984 PKK attacks","http://dbpedia.org/resource/1984_PKK_attacks",1984-08-15,"Hakkâri Province"
"1984 PKK attacks","http://dbpedia.org/resource/1984_PKK_attacks",1984-08-15,"Eruh"
"1984 PKK attacks","http://dbpedia.org/resource/1984_PKK_attacks",1984-08-15,"Şemdinli"
"1984 PKK attacks","http://dbpedia.org/resource/1984_PKK_attacks",1984-08-15,"Siirt Province"
"1986 United States bombing of Libya","http://dbpedia.org/resource/1986_United_States_bombing_of_Libya",1986-04-15,"Libya"
"1987 Burundian coup d'état","http://dbpedia.org/resource/1987_Burundian_coup_d'état",1987-09-03,"Burundi"
"1987 Tunisian coup d'état","http://dbpedia.org/resource/1987_Tunisian_coup_d'état",1987-11-07,"Tunisia"
"1988 Maldives coup d'état","http://dbpedia.org/resource/1988_Maldives_coup_d'état",1988-11-03,"Maldives"
"1989 Sudanese coup d'état","http://dbpedia.org/resource/1989_Sudanese_coup_d'état",1989-06-30,"Sudan"
"1989 attack on La Tablada barracks","http://dbpedia.org/resource/1989_attack_on_La_Tablada_barracks",1989-01-24,"La Tablada"
"1989 attack on La Tablada barracks","http://dbpedia.org/resource/1989_attack_on_La_Tablada_barracks",1989-01-24,"Buenos Aires Province"
"1989 attack on La Tablada barracks","http://dbpedia.org/resource/1989_attack_on_La_Tablada_barracks",1989-01-24,"Argentina"
"1991 Lokhandwala Complex shootout","http://dbpedia.org/resource/1991_Lokhandwala_Complex_shootout",1991-11-16,"Bombay"
"1991 Lokhandwala Complex shootout","http://dbpedia.org/resource/1991_Lokhandwala_Complex_shootout",1991-11-16,"Lokhandwala Complex"
"1991 Soviet coup d'état attempt","http://dbpedia.org/resource/1991_Soviet_coup_d'état_attempt",1991-08-21,"Moscow"
"1991 Soviet coup d'état attempt","http://dbpedia.org/resource/1991_Soviet_coup_d'état_attempt",1991-08-21,"Soviet Union"
"1991 Tifariti offensive","http://dbpedia.org/resource/1991_Tifariti_offensive",1991-08-04,"Tifariti"
"1991 Tifariti offensive","http://dbpedia.org/resource/1991_Tifariti_offensive",1991-08-04,"Bir Lehlou"
"1991 Tifariti offensive","http://dbpedia.org/resource/1991_Tifariti_offensive",1991-08-04,"Western Sahara"
"1991 Tifariti offensive","http://dbpedia.org/resource/1991_Tifariti_offensive",1991-08-04,"Mijek"
"1991 Tifariti offensive","http://dbpedia.org/resource/1991_Tifariti_offensive",1991-08-04,"Mehaires"
"1991 Yugoslav campaign in Croatia","http://dbpedia.org/resource/1991_Yugoslav_campaign_in_Croatia",1991-09-20,"Croatia"
"1991 Yugoslav campaign in Croatia","http://dbpedia.org/resource/1991_Yugoslav_campaign_in_Croatia",1992-01-03,"Croatia"
"1991 uprising in Karbala","http://dbpedia.org/resource/1991_uprising_in_Karbala",1991-03-19,"Karbala"
"1991 uprising in Karbala","http://dbpedia.org/resource/1991_uprising_in_Karbala",1991-03-19,"Iraq"
"1991 uprising in Kirkuk","http://dbpedia.org/resource/1991_uprising_in_Kirkuk",1991-03-29,"Kirkuk"
"1991 uprising in Kirkuk","http://dbpedia.org/resource/1991_uprising_in_Kirkuk",1991-03-29,"Iraq"
"1991 uprising in Sulaymaniyah","http://dbpedia.org/resource/1991_uprising_in_Sulaymaniyah",1991-04-03,"Sulaymaniyah"
"1991 uprising in Sulaymaniyah","http://dbpedia.org/resource/1991_uprising_in_Sulaymaniyah",1991-04-03,"Iraq"
"1991 uprising in Tuz Khormato","http://dbpedia.org/resource/1991_uprising_in_Tuz_Khormato",1991-03-24,"Tuz Khormato"
"1991 uprising in Tuz Khormato","http://dbpedia.org/resource/1991_uprising_in_Tuz_Khormato",1991-03-24,"Iraq"
"1991 uprisings in Iraq","http://dbpedia.org/resource/1991_uprisings_in_Iraq",1991-04-05,"Iraq"
"1991–92 South Ossetia War","http://dbpedia.org/resource/1991–92_South_Ossetia_War",1991-01-05,"South Ossetia"
"1992 Peruvian constitutional crisis","http://dbpedia.org/resource/1992_Peruvian_constitutional_crisis",1992-04-05,"Peru"
"1992 Venezuelan coup d'état attempts","http://dbpedia.org/resource/1992_Venezuelan_coup_d'état_attempts",1992-02-05,"Venezuela"
